"text_code","class_name","teacher_name",category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,text_length,"language","create_time"
"107-2_20930320","天氣學二","游政谷",0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579,"CH","2020-05-12 23:39:13"
"107-2_20932600","物理海洋概論","陳世楠",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684,"CH","2020-05-12 23:39:13"
"107-2_20940120","天氣學實習二","游政谷",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608,"CH","2020-05-12 23:39:13"
"107-2_20946110","大氣科學研究導論","羅敏輝",4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,234,"CH","2020-05-12 23:39:13"
"107-2_20946200","獨立研究二","黃彥婷",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,"CH","2020-05-12 23:39:13"
"107-2_20949500","大氣輻射學","陳正達",0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,704,"CH","2020-05-12 23:39:13"
"107-2_20949680","學士論文","黃彥婷",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"CH","2020-05-12 23:39:13"
"107-2_221U0340","偏微分方程式二","陳逸昆",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"CH","2020-05-12 23:39:13"
"107-2_221U1580","高等統計推論二","陳  宏",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947,"CH","2020-05-12 23:39:13"
"107-2_221U2880","實分析二","王振男",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410,"CH","2020-05-12 23:39:13"
"107-2_221U2940","微分幾何二","張樹城",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066,"CH","2020-05-12 23:39:13"
"107-2_221U3420","機率論二","黃建豪",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,"CH","2020-05-12 23:39:13"
"107-2_221U3600","代數幾何","蔡宜洵",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"CH","2020-05-12 23:39:13"
"107-2_221U3860","專題演講二","楊一帆",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"CH","2020-05-12 23:39:13"
"107-2_221U3880","專題演講四","莊武諺",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"CH","2020-05-12 23:39:13"
"107-2_221U3900","泛函分析","沈俊嚴",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449,"CH","2020-05-12 23:39:13"
"107-2_221U5130","流形導論","翁秉仁",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827,"CH","2020-05-12 23:39:13"
"107-2_221U6000","數理金融導論","韓傳祥",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,"CH","2020-05-12 23:39:13"
"107-2_221U6120","密碼學導論","陳君明",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723,"CH","2020-05-12 23:39:13"
"107-2_221U6130","數學建模","林太家",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3466,"CH","2020-05-12 23:39:13"
"107-2_221U6160","多變量統計分析","陳  宏",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179,"CH","2020-05-12 23:39:13"
"107-2_221U6530","代數二","王金龍",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496,"CH","2020-05-12 23:39:13"
"107-2_221U6550","分析二","崔茂培",0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938,"CH","2020-05-12 23:39:13"
"107-2_221U6590","近世代數二","林惠雯",0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548,"CH","2020-05-12 23:39:13"
